NO3_TDN_01,1,2,3,4,5,6,7,8,9,10,11,12
E,Std,102_t2_z1_CFE.1x,103_t2_z3_CFE.1x,86_t2_z2_CFE.1x,101_t2_z3_CFE.1x,84_t2_z1_CFE.1x,86_t2_z3_CFE.1x,extr,95_t2_z3_CFE.1x,83_t2_z2_CFE.1x,93_t2_z3_CFE.1x,Field_t2_Std_R1_CFE.1x
F,Std,102_t2_z1_CFE.1x,103_t2_z3_CFE.1x,86_t2_z2_CFE.1x,101_t2_z3_CFE.1x,84_t2_z1_CFE.1x,86_t2_z3_CFE.1x,extr,95_t2_z3_CFE.1x,83_t2_z2_CFE.1x,93_t2_z3_CFE.1x,Field_t2_Std_R1_CFE.1x
G,Std,102_t2_z1_CFE.1x,103_t2_z3_CFE.1x,86_t2_z2_CFE.1x,101_t2_z3_CFE.1x,84_t2_z1_CFE.1x,86_t2_z3_CFE.1x,extr,95_t2_z3_CFE.1x,83_t2_z2_CFE.1x,93_t2_z3_CFE.1x,Field_t2_Std_R1_CFE.1x
H,Std,102_t2_z1_CFE.1x,103_t2_z3_CFE.1x,86_t2_z2_CFE.1x,101_t2_z3_CFE.1x,84_t2_z1_CFE.1x,86_t2_z3_CFE.1x,extr,95_t2_z3_CFE.1x,83_t2_z2_CFE.1x,93_t2_z3_CFE.1x,Field_t2_Std_R1_CFE.1x
NO3_TDN_10,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,92_t2_z2_CFE.2x,82_t2_z2_CFE.2x,94_t2_z3_CFE.2x,87_t2_z2_CFE.2x,91_t2_z3_CFE.2x,100_t2_z2_CFE.2x,extr,88_t2_z2_CFE.2x,96_t2_z3_CFE.2x,95_t2_z2_CFE.2x,Field_t2_Std_R2_CFE.2x
B,Std,92_t2_z2_CFE.2x,82_t2_z2_CFE.2x,94_t2_z3_CFE.2x,87_t2_z2_CFE.2x,91_t2_z3_CFE.2x,100_t2_z2_CFE.2x,extr,88_t2_z2_CFE.2x,96_t2_z3_CFE.2x,95_t2_z2_CFE.2x,Field_t2_Std_R2_CFE.2x
C,Std,92_t2_z2_CFE.2x,82_t2_z2_CFE.2x,94_t2_z3_CFE.2x,87_t2_z2_CFE.2x,91_t2_z3_CFE.2x,100_t2_z2_CFE.2x,extr,88_t2_z2_CFE.2x,96_t2_z3_CFE.2x,95_t2_z2_CFE.2x,Field_t2_Std_R2_CFE.2x
D,Std,92_t2_z2_CFE.2x,82_t2_z2_CFE.2x,94_t2_z3_CFE.2x,87_t2_z2_CFE.2x,91_t2_z3_CFE.2x,100_t2_z2_CFE.2x,extr,88_t2_z2_CFE.2x,96_t2_z3_CFE.2x,95_t2_z2_CFE.2x,Field_t2_Std_R2_CFE.2x
E,Std,92_t2_z2_CFE.1x,82_t2_z2_CFE.1x,94_t2_z3_CFE.1x,87_t2_z2_CFE.1x,91_t2_z3_CFE.1x,100_t2_z2_CFE.1x,extr,88_t2_z2_CFE.1x,96_t2_z3_CFE.1x,95_t2_z2_CFE.1x,Field_t2_Std_R2_CFE.1x
F,Std,92_t2_z2_CFE.1x,82_t2_z2_CFE.1x,94_t2_z3_CFE.1x,87_t2_z2_CFE.1x,91_t2_z3_CFE.1x,100_t2_z2_CFE.1x,extr,88_t2_z2_CFE.1x,96_t2_z3_CFE.1x,95_t2_z2_CFE.1x,Field_t2_Std_R2_CFE.1x
G,Std,92_t2_z2_CFE.1x,82_t2_z2_CFE.1x,94_t2_z3_CFE.1x,87_t2_z2_CFE.1x,91_t2_z3_CFE.1x,100_t2_z2_CFE.1x,extr,88_t2_z2_CFE.1x,96_t2_z3_CFE.1x,95_t2_z2_CFE.1x,Field_t2_Std_R2_CFE.1x
H,Std,92_t2_z2_CFE.1x,82_t2_z2_CFE.1x,94_t2_z3_CFE.1x,87_t2_z2_CFE.1x,91_t2_z3_CFE.1x,100_t2_z2_CFE.1x,extr,88_t2_z2_CFE.1x,96_t2_z3_CFE.1x,95_t2_z2_CFE.1x,Field_t2_Std_R2_CFE.1x
NO3_TDN_11,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,90_t2_z3_CFE.2x,84_t2_z2_CFE.2x,96_t2_z2_CFE.2x,101_t2_z1_CFE.2x,91_t2_z2_CFE.2x,87_t2_z1_CFE.2x,extr,83_t2_z1_CFE.2x,97_t2_z1_CFE.2x,93_t2_z2_CFE.2x,Field_t2_Std_R3_CFE.2x
B,Std,90_t2_z3_CFE.2x,84_t2_z2_CFE.2x,96_t2_z2_CFE.2x,101_t2_z1_CFE.2x,91_t2_z2_CFE.2x,87_t2_z1_CFE.2x,extr,83_t2_z1_CFE.2x,97_t2_z1_CFE.2x,93_t2_z2_CFE.2x,Field_t2_Std_R3_CFE.2x
C,Std,90_t2_z3_CFE.2x,84_t2_z2_CFE.2x,96_t2_z2_CFE.2x,101_t2_z1_CFE.2x,91_t2_z2_CFE.2x,87_t2_z1_CFE.2x,extr,83_t2_z1_CFE.2x,97_t2_z1_CFE.2x,93_t2_z2_CFE.2x,Field_t2_Std_R3_CFE.2x
D,Std,90_t2_z3_CFE.2x,84_t2_z2_CFE.2x,96_t2_z2_CFE.2x,101_t2_z1_CFE.2x,91_t2_z2_CFE.2x,87_t2_z1_CFE.2x,extr,83_t2_z1_CFE.2x,97_t2_z1_CFE.2x,93_t2_z2_CFE.2x,Field_t2_Std_R3_CFE.2x
E,Std,90_t2_z3_CFE.1x,84_t2_z2_CFE.1x,96_t2_z2_CFE.1x,101_t2_z1_CFE.1x,91_t2_z2_CFE.1x,87_t2_z1_CFE.1x,extr,83_t2_z1_CFE.1x,97_t2_z1_CFE.1x,93_t2_z2_CFE.1x,Field_t2_Std_R3_CFE.1x
F,Std,90_t2_z3_CFE.1x,84_t2_z2_CFE.1x,96_t2_z2_CFE.1x,101_t2_z1_CFE.1x,91_t2_z2_CFE.1x,87_t2_z1_CFE.1x,extr,83_t2_z1_CFE.1x,97_t2_z1_CFE.1x,93_t2_z2_CFE.1x,Field_t2_Std_R3_CFE.1x
G,Std,90_t2_z3_CFE.1x,84_t2_z2_CFE.1x,96_t2_z2_CFE.1x,101_t2_z1_CFE.1x,91_t2_z2_CFE.1x,87_t2_z1_CFE.1x,extr,83_t2_z1_CFE.1x,97_t2_z1_CFE.1x,93_t2_z2_CFE.1x,Field_t2_Std_R3_CFE.1x
